Loading original data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b.json
Loading existing fixed data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b_fixed.json

JSON structure (original):
  CO: ['no action']
  BTN: ['no action', 'CO push']
  SB: ['no action', 'CO push', 'BTN push', 'CO+BTN push']
  BB: ['CO push', 'BTN push', 'CO+BTN push', 'SB push', 'CO+SB push', 'BTN+SB push', 'CO+BTN+SB push']

Trials per hand: 50,000
Seed: 42

=== Situation 4: BB vs CO+BTN+SB push (copy from existing fixed file) ===
push_pct: 12.1% -> 9.7% (already fixed, preserving)

=== Fixing: BB vs CO+BTN push (SB folded) ===
Breakeven: 28.571%  (14 / 49)
Trials per hand: 50,000
CO 'no action' combos: 514, mean push: 0.334
BTN 'CO push' combos: 412, mean push: 0.154

Hand     |  Solver% |  Equity% |  EV(chips) | Corrected% | Change
Q3o      |     0.00 |    20.42 |      -4.00 |       0.00 | ok
Q4o      |     0.01 |    20.68 |      -3.87 |       0.00 | ok
Q5o      |     0.07 |    21.70 |      -3.37 |       0.00 | ok
Q6o      |     0.00 |    21.84 |      -3.30 |       0.00 | ok
Q7o      |     0.03 |    21.84 |      -3.30 |       0.00 | ok
Q8o      |     0.10 |    23.43 |      -2.52 |       0.00 | ok
Q9o      |     0.13 |    24.48 |      -2.01 |       0.00 | ok
QTo      |     0.08 |    26.53 |      -1.00 |       0.00 | ok
QJo      |     5.96 |    27.33 |      -0.61 |       0.00 | FIXED
K2o      |     0.04 |    20.65 |      -3.88 |       0.00 | ok
K3o      |     0.01 |    20.76 |      -3.83 |       0.00 | ok
K4o      |     0.07 |    21.60 |      -3.42 |       0.00 | ok
K5o      |     0.00 |    21.92 |      -3.26 |       0.00 | ok
K6o      |     0.03 |    22.71 |      -2.87 |       0.00 | ok
K7o      |     0.02 |    22.95 |      -2.76 |       0.00 | ok
K8o      |     0.20 |    22.92 |      -2.77 |       0.00 | ok
K9o      |     0.01 |    24.05 |      -2.22 |       0.00 | ok
KTo      |     0.23 |    26.11 |      -1.21 |       0.00 | ok
KJo      |     9.98 |    27.37 |      -0.59 |       0.00 | FIXED
KQo      |    99.57 |    29.48 |      +0.44 |     100.00 | ok
A2o      |     0.04 |    19.54 |      -4.43 |       0.00 | ok
A3o      |     0.00 |    20.40 |      -4.01 |       0.00 | ok
A4o      |     0.02 |    20.51 |      -3.95 |       0.00 | ok
A5o      |     0.03 |    21.41 |      -3.51 |       0.00 | ok
A6o      |     0.03 |    20.39 |      -4.01 |       0.00 | ok
A7o      |     0.11 |    21.96 |      -3.24 |       0.00 | ok
A8o      |     0.24 |    22.96 |      -2.75 |       0.00 | ok
A9o      |     0.20 |    23.99 |      -2.25 |       0.00 | ok
ATo      |     1.11 |    27.90 |      -0.33 |       0.00 | FIXED
AJo      |    99.86 |    31.69 |      +1.53 |     100.00 | ok
AQo      |    99.97 |    35.42 |      +3.36 |     100.00 | ok
AKo      |    99.99 |    39.61 |      +5.41 |     100.00 | ok
------------------------------------------------------------------------
push_pct: 12.0% -> 11.7%  |  hands changed: 25/169

=== Fixing: BB vs CO+SB push (BTN folded) ===
Breakeven: 29.167%  (14 / 48)
Trials per hand: 50,000
CO 'no action' combos: 514, mean push: 0.334
SB 'CO push' combos: 550, mean push: 0.209

Hand     |  Solver% |  Equity% |  EV(chips) | Corrected% | Change
------------------------------------------------------------------------
22       |     0.45 |    27.43 |      -0.83 |       0.00 | ok
33       |     3.41 |    28.67 |      -0.24 |       0.57 | FIXED
44       |    99.65 |    30.67 |      +0.72 |     100.00 | ok
55       |    99.98 |    32.07 |      +1.40 |     100.00 | ok
66       |    99.90 |    34.53 |      +2.58 |     100.00 | ok
77       |   100.00 |    36.18 |      +3.37 |     100.00 | ok
88       |   100.00 |    38.41 |      +4.44 |     100.00 | ok
99       |   100.00 |    41.41 |      +5.88 |     100.00 | ok
TT       |    99.99 |    45.04 |      +7.62 |     100.00 | ok
JJ       |   100.00 |    49.39 |      +9.71 |     100.00 | ok
QQ       |   100.00 |    54.80 |     +12.30 |     100.00 | ok
KK       |   100.00 |    61.27 |     +15.41 |     100.00 | ok
AA       |   100.00 |    72.95 |     +21.01 |     100.00 | ok
32s      |     0.00 |    22.65 |      -3.13 |       0.00 | ok
42s      |     0.00 |    23.71 |      -2.62 |       0.00 | ok
43s      |     0.30 |    25.02 |      -1.99 |       0.00 | ok
52s      |     0.00 |    24.03 |      -2.46 |       0.00 | ok
53s      |     0.61 |    25.85 |      -1.59 |       0.00 | ok
54s      |     0.07 |    27.34 |      -0.88 |       0.00 | ok
62s      |     0.01 |    23.57 |      -2.69 |       0.00 | ok
63s      |     0.16 |    24.73 |      -2.13 |       0.00 | ok
64s      |     0.13 |    26.46 |      -1.30 |       0.00 | ok
65s      |     0.00 |    28.03 |      -0.54 |       0.00 | ok
72s      |     0.11 |    22.32 |      -3.29 |       0.00 | ok
73s      |     0.05 |    23.42 |      -2.76 |       0.00 | ok
74s      |     1.29 |    25.48 |      -1.77 |       0.00 | FIXED
75s      |     0.96 |    27.00 |      -1.04 |       0.00 | ok
76s      |     0.00 |    28.29 |      -0.42 |       0.00 | ok
82s      |     0.00 |    23.29 |      -2.82 |       0.00 | ok
83s      |     0.01 |    22.55 |      -3.18 |       0.00 | ok
84s      |     0.24 |    24.64 |      -2.17 |       0.00 | ok
85s      |     2.35 |    26.33 |      -1.36 |       0.00 | FIXED
86s      |     4.98 |    27.80 |      -0.65 |       0.00 | FIXED
87s      |     1.39 |    28.34 |      -0.40 |       0.00 | FIXED
92s      |     0.03 |    23.03 |      -2.95 |       0.00 | ok
93s      |     0.00 |    23.41 |      -2.76 |       0.00 | ok
94s      |     0.01 |    23.99 |      -2.49 |       0.00 | ok
95s      |     0.02 |    25.79 |      -1.62 |       0.00 | ok
96s      |     0.49 |    27.19 |      -0.95 |       0.00 | ok
97s      |     0.14 |    28.11 |      -0.51 |       0.00 | ok
98s      |    99.44 |    29.37 |      +0.10 |      70.17 | FIXED
T2s      |     0.04 |    23.65 |      -2.65 |       0.00 | ok
T3s      |     0.00 |    23.73 |      -2.61 |       0.00 | ok
T4s      |     0.20 |    24.31 |      -2.33 |       0.00 | ok
T5s      |     0.01 |    24.63 |      -2.18 |       0.00 | ok
T6s      |     0.64 |    26.18 |      -1.43 |       0.00 | ok
T7s      |     4.64 |    27.44 |      -0.83 |       0.00 | FIXED
T8s      |     0.14 |    28.89 |      -0.13 |      22.03 | FIXED
T9s      |    97.49 |    30.03 |      +0.41 |     100.00 | FIXED
J2s      |     0.06 |    23.66 |      -2.64 |       0.00 | ok
J3s      |     0.18 |    23.73 |      -2.61 |       0.00 | ok
J4s      |     0.02 |    24.62 |      -2.18 |       0.00 | ok
J5s      |     0.30 |    25.22 |      -1.89 |       0.00 | ok
J6s      |     0.00 |    25.54 |      -1.74 |       0.00 | ok
J7s      |     0.23 |    26.30 |      -1.38 |       0.00 | ok
J8s      |     2.73 |    27.58 |      -0.76 |       0.00 | FIXED
J9s      |    31.98 |    29.55 |      +0.18 |      88.40 | FIXED
JTs      |    99.99 |    31.23 |      +0.99 |     100.00 | ok
Q2s      |     0.03 |    24.62 |      -2.18 |       0.00 | ok
Q3s      |     0.00 |    24.80 |      -2.09 |       0.00 | ok
Q4s      |     0.01 |    25.49 |      -1.76 |       0.00 | ok
Q5s      |     0.00 |    26.16 |      -1.44 |       0.00 | ok
Q6s      |     0.56 |    26.75 |      -1.16 |       0.00 | ok
Q7s      |     0.05 |    26.55 |      -1.26 |       0.00 | ok
Q8s      |     0.69 |    27.76 |      -0.67 |       0.00 | ok
Q9s      |     0.02 |    29.24 |      +0.04 |      57.47 | FIXED
QTs      |    99.33 |    31.16 |      +0.96 |     100.00 | ok
QJs      |    95.87 |    31.34 |      +1.04 |     100.00 | FIXED
K2s      |     0.47 |    24.98 |      -2.01 |       0.00 | ok
K3s      |     0.00 |    25.74 |      -1.65 |       0.00 | ok
K4s      |     0.00 |    25.94 |      -1.55 |       0.00 | ok
K5s      |     0.09 |    26.22 |      -1.41 |       0.00 | ok
K6s      |     0.19 |    27.13 |      -0.98 |       0.00 | ok
K7s      |     0.86 |    27.30 |      -0.90 |       0.00 | ok
K8s      |     0.28 |    27.42 |      -0.84 |       0.00 | ok
K9s      |    28.77 |    28.75 |      -0.20 |       8.10 | FIXED
KTs      |    94.78 |    30.80 |      +0.79 |     100.00 | FIXED
KJs      |    99.96 |    31.66 |      +1.20 |     100.00 | ok
KQs      |   100.00 |    33.95 |      +2.29 |     100.00 | ok
A2s      |     0.03 |    24.81 |      -2.09 |       0.00 | ok
A3s      |     0.28 |    25.20 |      -1.91 |       0.00 | ok
A4s      |     0.00 |    25.76 |      -1.64 |       0.00 | ok
A5s      |     0.25 |    27.04 |      -1.02 |       0.00 | ok
A6s      |     1.14 |    26.20 |      -1.43 |       0.00 | FIXED
A7s      |     1.11 |    27.54 |      -0.78 |       0.00 | FIXED
A8s      |     3.47 |    28.27 |      -0.43 |       0.00 | FIXED
A9s      |    92.40 |    30.61 |      +0.69 |     100.00 | FIXED
ATs      |   100.00 |    34.04 |      +2.34 |     100.00 | ok
AJs      |   100.00 |    37.16 |      +3.84 |     100.00 | ok
AQs      |    99.97 |    40.43 |      +5.41 |     100.00 | ok
AKs      |    99.91 |    44.00 |      +7.12 |     100.00 | ok
32o      |     0.00 |    18.95 |      -4.90 |       0.00 | ok
42o      |     0.00 |    19.83 |      -4.48 |       0.00 | ok
43o      |     0.00 |    21.47 |      -3.70 |       0.00 | ok
52o      |     0.00 |    20.26 |      -4.27 |       0.00 | ok
53o      |     0.00 |    21.60 |      -3.63 |       0.00 | ok
54o      |     0.07 |    24.02 |      -2.47 |       0.00 | ok
62o      |     0.00 |    19.68 |      -4.55 |       0.00 | ok
63o      |     0.00 |    21.16 |      -3.84 |       0.00 | ok
64o      |     0.12 |    23.07 |      -2.93 |       0.00 | ok
65o      |     0.02 |    24.80 |      -2.10 |       0.00 | ok
72o      |     0.00 |    18.62 |      -5.06 |       0.00 | ok
73o      |     0.00 |    20.09 |      -4.36 |       0.00 | ok
74o      |     0.00 |    21.74 |      -3.57 |       0.00 | ok
75o      |     0.00 |    23.39 |      -2.77 |       0.00 | ok
76o      |     0.39 |    25.06 |      -1.97 |       0.00 | ok
82o      |     0.00 |    18.94 |      -4.91 |       0.00 | ok
83o      |     0.01 |    19.18 |      -4.80 |       0.00 | ok
84o      |     0.09 |    20.67 |      -4.08 |       0.00 | ok
85o      |     0.02 |    22.19 |      -3.35 |       0.00 | ok
86o      |     0.02 |    24.23 |      -2.37 |       0.00 | ok
87o      |     0.04 |    25.27 |      -1.87 |       0.00 | ok
92o      |     0.01 |    19.65 |      -4.57 |       0.00 | ok
93o      |     0.00 |    19.80 |      -4.50 |       0.00 | ok
94o      |     0.01 |    19.82 |      -4.49 |       0.00 | ok
95o      |     0.01 |    21.75 |      -3.56 |       0.00 | ok
96o      |     0.00 |    23.12 |      -2.90 |       0.00 | ok
97o      |     0.04 |    24.50 |      -2.24 |       0.00 | ok
98o      |     0.00 |    25.78 |      -1.63 |       0.00 | ok
T2o      |     0.00 |    19.59 |      -4.60 |       0.00 | ok
T3o      |     0.00 |    19.94 |      -4.43 |       0.00 | ok
T4o      |     0.00 |    20.49 |      -4.17 |       0.00 | ok
T5o      |     0.00 |    20.71 |      -4.06 |       0.00 | ok
T6o      |     0.00 |    22.32 |      -3.29 |       0.00 | ok
T7o      |     0.13 |    23.41 |      -2.76 |       0.00 | ok
T8o      |     0.38 |    25.36 |      -1.83 |       0.00 | ok
T9o      |     0.01 |    26.57 |      -1.25 |       0.00 | ok
J2o      |     0.01 |    19.59 |      -4.60 |       0.00 | ok
J3o      |     0.00 |    20.13 |      -4.34 |       0.00 | ok
J4o      |     0.00 |    20.44 |      -4.19 |       0.00 | ok
J5o      |     0.00 |    21.71 |      -3.58 |       0.00 | ok
J6o      |     0.00 |    21.58 |      -3.64 |       0.00 | ok
